new_folder,id,title,category,template,primary,secondary,score,correlation,overlap,new_photo,new_analysis,page,note
01_Slinky弹簧驻波,slinky_standing_wave,真实照片：Slinky 弹簧驻波,01_一维驻波实验,矩形克拉尼图形,5,1,0.32018558524783064,-0.14876108117673975,0.09613860264975654,01_Slinky弹簧驻波/实验照片.jpg,01_Slinky弹簧驻波/分析结果图.png,https://commons.wikimedia.org/wiki/File:Standing_wave_on_a_slinky.jpg,真实驻波照片，用于说明后续应扩展一维曲线识别。
02_弦驻波实验,string_standing_wave_public,真实/公开图：弦驻波实验,01_一维驻波实验,一维驻波,4,1,0.35415450199703324,0.03826121207188728,0.0035802809143486644,02_弦驻波实验/实验照片.jpg,02_弦驻波实验/分析结果图.png,https://commons.wikimedia.org/wiki/File:Standing_Waves.jpg,补充一维驻波照片分析，用节点数和波腹位置进行比较。
03_Kundt管声学驻波,kundt_tube_standing_wave,真实图片：Kundt 管声学驻波,01_一维驻波实验,矩形克拉尼图形,4,1,0.2891828034588791,-0.14946234276800277,0.0,03_Kundt管声学驻波/实验照片.png,03_Kundt管声学驻波/分析结果图.png,https://commons.wikimedia.org/wiki/File:Kundt_tube.png,声学驻波实验图，用于讨论一维声学节点与二维模板的适用边界。
04_Kundt管声学驻波,kundt_tube_acoustic_wave,真实图片：Kundt 管声学驻波,01_一维驻波实验,一维驻波,5,1,0.34871474553252135,0.02563160450741563,0.0,04_Kundt管声学驻波/实验照片.png,04_Kundt管声学驻波/分析结果图.png,https://commons.wikimedia.org/wiki/File:Kundt_tube.png,补充声学驻波实验分析，粉末堆积位置对应声压节点或速度腹。
05_矩形克拉尼板,rect_chladni_photo,真实照片：矩形克拉尼板,02_二维驻波与克拉尼图形,矩形克拉尼图形,3,2,0.3779661016370269,-0.03911876054913145,0.16020775069916102,05_矩形克拉尼板/实验照片.jpg,05_矩形克拉尼板/分析结果图.png,https://commons.wikimedia.org/wiki/File:Chladni_plate_02.jpg,真实克拉尼板实验照片。
06_矩形板二维驻波_克拉尼图形,chladni_rect_2d_standing,真实照片：矩形板二维驻波/克拉尼图形,02_二维驻波与克拉尼图形,二维驻波,3,2,0.3779661016370269,-0.03911876054913145,0.16020775069916102,06_矩形板二维驻波_克拉尼图形/实验照片.jpg,06_矩形板二维驻波_克拉尼图形/分析结果图.png,https://commons.wikimedia.org/wiki/File:Chladni_plate_02.jpg,作为二维驻波节点图样的真实实验照片。
07_圆形克拉尼板三环节点,round_chladni_3_nodes,真实照片：圆形克拉尼板三环节点,02_二维驻波与克拉尼图形,圆形克拉尼图形,1,3,0.24393365029412284,-0.3676469511873069,0.09041754280564734,07_圆形克拉尼板三环节点/实验照片.jpg,07_圆形克拉尼板三环节点/分析结果图.png,https://commons.wikimedia.org/wiki/File:Round_Chladni_plate_with_3_circular_nodes.JPG,真实圆形薄板径向节点圈照片。
08_圆形克拉尼板环形与径向节点,round_chladni_linear_nodes,真实照片：圆形克拉尼板环形与径向节点,02_二维驻波与克拉尼图形,圆形克拉尼图形,5,3,0.32352047498586567,-0.18815500978559266,0.1484161822280223,08_圆形克拉尼板环形与径向节点/实验照片.jpg,08_圆形克拉尼板环形与径向节点/分析结果图.png,https://commons.wikimedia.org/wiki/File:Round_Chladni_plate_with_3_circular_and_4_linear_nodes.jpg,真实圆形薄板复杂节点图案照片。
09_二维驻波膜面,two_dimensional_standing_wave,生成参考图：二维驻波膜面,02_二维驻波与克拉尼图形,二维驻波,4,3,0.9996463215125075,0.9999963071176368,0.998898678414097,09_二维驻波膜面/生成参考图.png,09_二维驻波膜面/分析结果图.png,由平台仿真算法生成,用于补齐二维驻波分析入口，展示 x/y 两方向节点线网格。
10_共振曲线,resonance_curve_reference,生成参考图：共振曲线,03_共振扫描实验,共振曲线,1,2,0.3314349727300087,-0.025191256676444958,0.0,10_共振曲线/生成参考图.png,10_共振曲线/分析结果图.png,由平台共振扫描算法生成,用于补齐共振扫描照片/图像分析，展示峰值频率和带宽。
11_单缝衍射类条纹,generated_diffraction_reference,生成参考图：单缝衍射类条纹,04_衍射与干涉实验,矩形克拉尼图形,6,2,0.999999368509422,0.9999981426747703,1.0,11_单缝衍射类条纹/生成参考图.png,11_单缝衍射类条纹/分析结果图.png,由平台仿真算法生成,用于补充衍射/条纹类实验参考图，不标注为真实照片。
12_二维超材料阵列声场,generated_metamaterial_field,生成参考图：二维超材料阵列声场,05_声学超材料阵列,矩形克拉尼图形,5,4,0.395920625404402,0.025000285806269142,0.14818915071959513,12_二维超材料阵列声场/生成参考图.png,12_二维超材料阵列声场/分析结果图.png,由平台仿真算法生成,用于补充二维阵列声场参考图，不标注为真实照片。
